gene	report_path
PANO1	detail/nucleolus/PANO1/PANO1-evaluation.md
PRAC2	detail/nucleoplasm/PRAC2/PRAC2-evaluation.md
CCDC122	detail/nucleoplasm/CCDC122/CCDC122-evaluation.md
Derpc	detail/nucleoplasm/Derpc/Derpc-evaluation.md
C17orf100	detail/nucleoplasm/C17orf100/C17orf100-evaluation.md
FOXL2NB	detail/nucleolus/FOXL2NB/FOXL2NB-evaluation.md
KLLN	detail/nucleolus/KLLN/KLLN-evaluation.md
PBOV1	detail/nucleoplasm/PBOV1/PBOV1-evaluation.md
PRAC1	detail/nucleoplasm/PRAC1/PRAC1-evaluation.md
ATXN8	detail/nucleoplasm/ATXN8/ATXN8-evaluation.md
SPRR4	detail/nuclear-envelope/SPRR4/SPRR4-evaluation.md
Ifi203	detail/nucleoplasm/Ifi203/Ifi203-evaluation.md
SPATA31H1	detail/nucleoplasm/SPATA31H1/SPATA31H1-evaluation.md
